English	Infinitive	Present continuous	1st person past
to give birth	aru	ttaru	uruġ
to give evidence	k timitar	ikki timitar	kiġ timitar
to give permission	k ladn	akka ladn	kiġ ladn
to gleam	ssid	ssidi	ssudiġ
to glean	sfliliy	sfliliy	sfliliġ
to glue	lşşq	tlşşaq	lşşqġ
to go	nzuġ	nzzġ	nzġ'ġ
to go	.عin	tعin	.عinġ
to go	ddu	tddu	ddiġ
to go ahead of	zwur	zggur	zwarġ
to go bankrupt	sizi	tsizi	siziġ
to go further	zayd s dat	tzayad s dat	zaydġ s dat
to go out	ffġ	tffġ	ffġ'ġ
to go round	ďur	tďur	ďurġ
to go through	kk xf	tkka xf	kkiġ xf
to go up	ali	tali	uliġ
to go with	mun d	tmun d	manġ d
to gossip about	sawl xf	sawal xf	sawlġ xf
to govern	Hkm	tHkam	Hkmġ
to grab	ttf	t'ttf	ttfġ
to grab	xmš	txmaš	xmšġ
to grate*	Huk	tHukku	Hukkiġ
to graze	awġ	tawġ	iwġ'ġ
to graze	ks	kssa	ksiġ
to greet	sllm	tsllam	sllmġ
to greet	sllm xf	tsallam xf	sllmġ xf
to greet one another	msllam	tmsllam	msllamġ
to grill	knf	knnf	knfġ
to grill	ššwu	ššwu	ššwiġ
to grind	zd	zzad	zdiġ
to grow	gm	gmma	gmiġ
to grow	xitr	txitir	xatrġ
to guarantee	ďmn	ďmmn	ďmnġ
to guard	Hďu	Hţţu	Hďiġ
to guard	mmatr	tmatar	mmutrġ
to hand	k	akka	kiġ
to hang	agl	tagl	uglġ
to hang to dry	fsr	fssr	fsrġ
to happen	aġ	taġ	yaġ(3rd person)
to happen	jru	jrru/tjru	ijra(3rd person)
to harvest (grains)	mgr	mggr	mgrġ
to harvest (grass)	Hšš	tHšaš	Hššiġ
to hate	krh	krrh/tkrah	krhġ
to hate	mqt	tmqat	mqtġ
to have	ġur*	ġur* ttili	ġuri
"to have an expectation but belet down"	narz	tnaraz	nurzġ
to have breakfast	fďr	tfďar	fďrġ
to have diarrhea	inji udis/uxdil	"nggi+obj.proudis/axdil"	injyi udis/uxdil
to have dinner	mmnsu	tmnsaw	mmnsuġ
to have goosebumps	burš	tburuš	buršġ
to have indigestion	dduxmu	tduxmu	dduxmiġ
to have nosebleed	munzr	tmunzur	mmunzrġ
to have pity	Hnna	tHnna	hnnaġ
to have poor vision	ddrġl	tdrġal	ddrġlġ
to have sex	nkH	tnkaH	nkHġ
to have sex (euphemism)	gn d	ggan d	gnġ d
to have sex (euphemism)	jamع	tjamaع	jamعġ
to have sex (homosexual)	myuqu	tmyuqqu	myuqquġ
to have sex (slang)	qqu	tqqu	qqiġ
to have surgery	ftH	tftaH	ftHġ
to hear	sfld	ssflid	sfldġ
to hear	sll	tslla	sllaġ
to heat	sHmu	sHmu	sHmiġ
to heat	srġ	srġa	srġiġ
to help	.عawn	tعawan	.عawnġ
to hem	uďu	tuďu	aďuġ
to herd	ks	kssa	ksiġ
to hide	ffr	tffr	ffrġ
to hint at	wt swawal	kkat swawal	wtġ s wawal
to hire	sxdm	sxdam	sxdmġ
to hit	ut	kkat	utġ
to hit against	ġrf	qqrf	ġrfġ
to hit against	nnţ	tnnţ	nnţġ
to hold	amz	tamz	umzġ
to hold	asiy	tasiy	usiyġ
to hold on	ţţf s	t'ţţf s	ţţfġ s
to hope	tmnna	tmnna	tmnnaġ
to hug	ks taġufi	tks taġufi	ksġ taġufi
to hunt	şyyd	tşyyad	şyydġ
to hurry	Harš	tHraš	Haršġ
to hurry	Hurru	tHurru	Hurriġ
to hurt	brš	brrš	bršġ
to hurt (be painful)	bri	brri	briġ
to hurt (be painful)	"nġ (conj. as reflexivev)"	nqqa	inġayi
to hurt (injure)	brš	brrš	bršġ
to husk	zlm	zllm	zlmġ
to ignore	nxxl	tnxxal	nxxlġ
to imagine	xayl	txayal	xaylġ
to imitate	qlld	tqllad	qlldġ
to impose	frď	tfraď	frďġ
to imprison	gr g lHbs	ggar g lHbs	griġ g lHbs
to imprison	Hbs	tHbas	Hbsġ
to include	sumu	sumu	samuġ
to increase	.عtu	.عttu	.عtiġ
to increase	zayd	tzayad	zaydġ
to infect	.عada	tعada	.عadaġ
to infect	sslġ	sslaġ	sslġ'ġ
to inflate	swuf	swuf	swufġ
to inform	.عlm	tعlam	.عlmġ
to injure	jrH	tjraH	jrHġ
to install	rkkb	trkkab	rkkbġ
to invent*	xtarع	txtaraع	xtarعġ
to invite	ġr	qqra	ġriġ
to iron	Hdd'd	tHddad	Hdd'dġ
to irrigate	ssu	sswa	sswiġ
to irritate	brzt	tbrzat	brztġ
to irritate	zzعf	zzعaf	zzعfġ
to itch	kmz	kmmz	kmzġ
to itch	šmz	šmmz	šmzġ
to joke	hďr	thďar	hďrġ
to journey	Htal	tHtal	Htalġ
to jump	nďu	nďďu/tnďaw	nďuġ
to jump	nţw	nţţw	nţuġ
to justify	k timitar	ikki timitar	kiġ timitar
to keep	Hďu	Hţţu	Hďiġ
to kick	ut (conj) s rrkl	kat s rrkl	utġ s rrkl
to kiss	ssudm	ssudum	ssudmġ
to kiss*	bus	tbus	busġ
to knead	.عjn	tعjan	.عjnġ
to knead	ggw	tggwa	ggwiġ
"to knock down/collapse (abuilding)"	xlu	xllu	xliġ
to know	isin	tisin	snġ
to know something by heart	Hfd	tHfad	Hfdġ
to lack	niza	tniza	nizaġ
to last forever	dum	tdum	dumġ
to laugh	tş	tşşa	tşiġ
to lay egg	aru tiglay	taru tiglay	aruġ tiglay
to lay egg	sďr tiglay	sďar tiglay	sďrġ tiglay
to lead to	şiwď	şiwiď	şiwďġ
to leak	smiqiy	smiqiy	smiqiyġ
to leak	suddum	suddum	suddmġ
to learn	.عllm	tعllam	.عllmġ
to learn	lmd	tlmad	lmdġ
to leave	adj	tadja	udjiġ
to leave	zri	zrri	zriġ
to leave alone	Hyyd	tHyyad	Hyydġ
to leave behind	zri	zrri	zriġ
to lend	rdl	trdal	rdlġ
to lend	rďl	rţţl	rďlġ
to lengthen	sġzif	sġzif	sġzifġ
to lessen	sdris	sdris	sdrusġ
to let	adj	tadja	udjiġ
to let go (of something)	zdu	zddu	zdiġ
to let go of	rzm i	rzzm i	rzmġ i
to lick	llġ	tllġ	llġ'ġ
to lie	sHllil	sHillil	sHllilġ
to lie	skdub	skdub	skdubġ
to lie	skirks	skirkis	skaksġ
to lie	sxdid	sxdid	sxdadġ
to lie down	snnd	tsnnad	snndġ
to lift	asi	tasi	usiġ
to light	ssiġ	ssiġi	ssaġ'ġ
to light a path/a place	sufu	tsufu	safaġ
to light*	šعl	tšعal	šعlġ
to lighten	sfsis	sfsis	sfsisġ
to like	.عjb	tعjab	.عjbġ
to like	Hml	tHmal	Hmlġ
to like	iri	tiri	"does not exist (conjin past means towant)"
to limit	g lHd	tgga lHd	giġ lHd
to limp	sHizun	sHizun	sHizunġ
to limp	sHurjdl	sHurjdil	sHurjdlġ
to line up	g şşf	tgga şşf	giġ şşf
to listen	sfld	ssflid	sfldġ
to live (in a place)	skn	tskan	sknġ
to live (in a place)	zdġ	tzdaġ	zdġ'ġ
to loan	rďl	rďďl	rďlġ
to lock	qqn	tqqn	qnġ
to lock	rgl	rggl	rglġ
to long for	tnġa* taġufi n	nqqa* tġufi n	tnġayi tġufi
to look	raعa	traعa	raعaġ
to look	sksu	sksiw	sksuġ
to look	zr	zrra	zriġ
to look after	Hďu	Hďďu	Hďiġ
to look alike	iksil	tiksil	aksulġ
to look alike	myaġ	tmyaġ	myaġ'ġ
to look behind	sksu s ďart	sksiw s ďart	sksuġ s ďart
to look down on someone	Hqqr	tHqqar	Hqqrġ
to look for	inig	tinig	anugġ
to look for	tnada	tnada	tnadaġ
"to look for (something,someone)"	ttr	t'ttr	ttrġ
to look in mirror	mnu	mnnu	mniġ
to look in mirror	sksw (conj) g lmri	sksiw g lmri	sksuġ g lmri
to look like	aġ	taġ	aġ'ġ
to look out (window)	agg	tagga	uggiġ
to loosen	silw	siliw	silwġ
to loosen	sry	srry	sriġ
to lose	zl	zal/zlla	zliġ
to lose (a game)	xsr	txsar	xsrġ
to love	tiri	tiri	"datiriġ (always inpresent)"
to lower	naqs	tnaqqas	naqsġ
to lower	sigz	siggiz	sigzġ
to lull (a baby)	srurd	srurud	srurdġ
to magnify	sxitr	sxitir	sxatrġ
to maintain	Hafd (ġif)	tHafad (ġif)	Hafdġ (ġif)
to make	skr	skar	skrġ
to make	Hiyya	tHiyya	Hiyyaġ
"to make a woman pregnant(man)"	ssirw	ssiriw	ssuruġ
to make bigger	sxitr	sxitir	sxatrġ
to make deep	zzdr	zzdr	zzdrġ
to make difficult	ššqu	ššqu	ššqiġ
to make difficult	ssuعr	ssuعar	ssuعrġ
to make difficult	swعar	siwعir	suعraġ
to make dizzy	sduhdu	sduhdu	sduhdiġ
to make drink	ssu	sswa	sswiġ
to make drop	srdl	srdal	srdlġ
to make easy	swhn	swhan	swhnġ
to make enter	skjm	skjam	skjmġ
to make excuses	şşعdr	şşعdar	şşعdrġ
to make expensive	sġlu	sġlu	sġliġ
to make faces	smjkr	smjkar	smjkrġ
to make fall	srdl	srdal	srdlġ
to make fun	sţs	sţsa	sţsiġ
to make fun of	ţs xf	ţssa xf	ţsiġ xf
to make graze	siuġ	ssiwiġ	ssiuġ'ġ
to make ill	smrď	smraď	smrďġ
to make late	sعţţr	sعţţar	sعţţrġ
to make laugh	sţs	sţsa	sţsiġ
to make leave	sufġ	sufuġ	sufġ'ġ
to make loud	jhd i	tjhad i	jhdġ i
to make melt	sfsi	sfsay	sfsiġ
to make mistake	xďu	xţţu	xďiġ
to make money	rbH	trbaH	rbHġ
to make move	ssudu	ssudu	ssudiġ
to make noise	sďďع	tsďďaع	sďďع
"to make noise (like fingernailson a chalkboard)"	grurs	tgrurus	grursġ
"to make pleasantconversation"	šršq	šršaq	šršqġ
to make pop	sbďi	sbďay	sbďiġ
to make quiet	sfst	sfsta	sfstiġ
to make ready	siyujd	siyujid	siyujdġ
"to make someone's nosebleed"	swunzr	swunzur	swunzrġ
"to make something gotogether"	smun	smun	smanġ
"to make something happen,by force"	g ddrع	tgga ddrع	giġ ddrع
to make something the same	siksil	siksil	siksilġ
to make stop	sbdd	sbdda	sbddiġ
to make tea	.عmmr atay	tعmmar atay	.عmmrġ atay
to make tired	swHl	swHal	swHlġ
to make understood	sfhm	sfham	sfhmġ
to make warm	ssrġ	ssrġa	ssrġiġ
to mark	.عllm	tعllam	.عllmġ
to marry	awl	tawl	iwlġ
to marry	tahl	t'tahal	tahlġ
to massage	dllk	tdllak	dllkġ
to masturbate	ut (conj) tizzt	kat tizzt	utġ tizzt
to masturbate (men)	ut (conj) tummizt	kat tummizt	utġ tummizt
to masturbate* (both sexes)	kfft	tkffat	kfftġ
to measure	.عbr	tعbar	.عbrġ
to mediate	şalH	tşalaH	şalHġ
to meet	jmع d	tjmaع d	jmعġ d
to meet (by coincidence)	mjmaع d	tmjmaع d	mjmaعġ d
to meet (with people)	mjmaع	tmjmaع	mjmaعġ
to melt	fsi	fssi	fsiġ
to memorize	Hfď	tHfaď	Hfďġ
to menace	ggal g	tgalla g	gulliġ g
to mess up	krfs	tkrfas	krfsġ
to milk	zzg	tzzg	zzgġ
to milk	zziy	tzziy	zziyġ
to miss (a bus)	zri (reflexive)	izrri	izriy-i
to miss (someone/something)	tnġa* taġufi n	nqqa* tġufi n	tnġayi tġufi
to mix	ssur	tssur	ssarġ
to mix	xllţ	txllaţ	xllţġ
to moan	smumi	smumuy	smumiġ
to mold	ġml	tġmal	ġmlġ
to monitor	Hďu	Hţţu	Hďiġ
to move	matti	tmattay	muttiġ
to move (in place)	mštg	tmštag	mštgġ
to move (residence)	rHl	trHal	rHlġ
to move away from	dirz	tdiriz	darzġ
to move something	smatti	smattay	smuttiġ
"to multiply (be fruitful)(agriculture)"	xlf	txlaf	xlfġ
to multiply* (numbers)	ut ...g...	kat	utġ
to murder	nġ	nqqa	nġiġ
to name	g ism	tgga ism	giġ ism
to need	Htadja	tHtadja	Htadjaġ
to need	Htadja	tHatadja	Htadjaġ
to need	xssa (reflexive)	ttxşşa	ixşşay-i
to obey	ţaع	tţaع	ţaعġ
to oblige*	bzz'z	tbzzaz	bzz'zġ
to observe*	laHď	tlaHaď	laHďġ
to occupy	.عmmr adġar	tعmmar adġar	.عmmrġ adġar
to occur	jru	tjru	ijra (3rd pers)
to offend	sxsr lxaţr i	sxsar lxaţr i	sxsrġ lxaţr i
to offer	hdu	thdu	hdiġ
to open	anf	tanf	unfġ
to open	rzm	rzzm	rzmġ
to operate	ftH	tftaH	ftHġ
to organize	nďďm	tnďďam	nďďmġ
to owe	dfar	dffur	dfarġ
to own	mlk	tmlak	mlkġ
to pacify	shddn	shddan	shddnġ
to pack	jmع	tjmaع	jmعġ
to pack	skutr	skutur	skutrġ
to pack	smun	smun	smanġ
to pack	smutr	smutur	smutrġ
to paint	bntr	tbntar	bntrġ
to paint	şbġ	tşbaġ	şbġ'ġ
to pant	sHuntfs	sHuntfus	always in present
to pardon	samH	tsamaH	samHġ
to part	bďu	bţţu	bďiġ
to participate	umu	tumu	amuġ
to pass	zri	zrri	zriġ
to pass a test	njH	tnjaH	njHġ
to pass by	zri	zrri	zriġ
to pay	fru	frru	friġ
to pay	xllş	txllaş	xllşġ
to pay attention	rar lbal	trara lbal	ruriġ lbal
to peel	qššr	tqššar	qššrġ
to peel (an egg)	zlm	zlam	zlmġ
to perform surgery	ftH	tftaH	ftHġ
to perish	nHufru	tnHufru	nHafraġ
to photograph	şwr	tşwar	şwrġ
to pick up	asi	tasi	usiġ
to pierce	nqb	nqqb	nqbġ
to place	srs	sras	srsġ
to plant	zzu	tzzu	zziġ
to play	hďr	thďar	hďrġ
to play	lعb	tlعab	lعbġ
to please someone	.عjb* i (reflexive)	tعjab* i	.عjbġ* i
to plow	krz	tkraz	krzġ
to plug a hole	msl	mssl	mslġ
to poop	g (conj) brra	tgga brra	giġ brra
to poop	g (conj) ixan	tgga ixan	giġ ixan
to poop	mmas	tmassa	mmussiġ
to pop (on its own)	bbďi	tbďay	bď ́iġ
to pop something	sbbďi	sbďay	sbbďiġ
to pound	ddz	tddza	ddziġ
to pour	ffi	tffi	ffiġ
to pour	xwu	xwwu	xwiġ
to practice	lmd	tlmad	lmdġ
to praise	škr	tškar	škrġ
to pray	zzal	tzalla	zzuliġ
to pray for something	dعu	tdعu	dعiġ
to precede	zwur	zggur	zwarġ
to prefer	fďďl	tfďďal	fďďlġ
to prepare	sujd	sujad	sujdġ
to press	zyr	zyyr	zyrġ
to prevent	mnع	tmnaع	mnعġ
"to prevent someone fromdoing something"	sHrm	sHram	sHrmġ
to profit	rbH	trbaH	rbHġ
to profit	snfع	snfaع	snfعġ
to progress	zayd s dat	tzayd s dat	zaydġ s dat
to prohibit	mnع	tmnaع	mnعġ
to prohibit	sHrm	sHram	sHrmġ
to promise	qawl	tqawal	qawlġ
to protect	Hďu	Hţţu	Hďiġ
to pull	jbd	jbbd	jbdġ
to punch	ut (conj) s lbuniya	kat s lbuniya	utġ s lbuniya
to punish	.عaqb	tعqab	.عaqbġ
to punish	wt	kkat	wtġ
to push	dfع	tdfaع	dfعġ
to push	dHi	dHHi	dHiġ
to put down	srs	sras	srsġ
to put in	gr s	ggar s	grġ s
to put in charge	kllf	tkllaf	kllfġ
to put on	ls	lssa	lsiġ
to put on a belt	Hzzm	tHzzam	Hzzmġ
to put out	sxsi	sxsay	sxsiġ
to put together (from parts)	zdiy	zddiy	zdiyġ
to quarrel	nnaġ	tnnaġ	nnaġ'ġ
to quiet	fst	fsta	fstiġ
to rain	iwt unzar	day-kkat unzar	---
to raise	sbd	sbdda	sbdiġ
to raise (children, livestock)	sxitr	sxitir	sxatrġ
to raise (hand)	asi afus	tasi afus	usiġ afus
to rape	ġtaşb	tġtaşab	ġtaşbġ
to reach	awď	tawď	iwďġ
to reach	lkm	tlkam	lkmġ
to read	ġr	qqar	ġriġ
to receive	amz	tamz	umzġ
to recite	.عrď	tعraď	.عrďġ
to recognise	akz	takz	ukzġ
to record	sjjl	tsjjal	sjjlġ
to recover	jji	tjji	jjiġ
to reduce	naqs	tnaqqas	naqsġ
to refuse (not want)	ur iri	ur tiri	ur riġ
to register	qyyd	tqyyad	qyydġ
to register	zmm'm	tzmmam	zmm'mġ
to regret	griz (reflexive)	tgriz	graz-i
to regret	ndm	tndam	ndmġ
to relax	rtaH	trtaH	rtaHġ
to relax	swunfu	tswunfu	swunfiġ
to release	rzm	rzzm	rzmġ
to remain	qqim	tqqima	qqumiġ
to remember	.عqql	tعqqal	.عqqalġ
to remember	kti	ktti	ktiġ
to remind	sktiy	sktay	sktiyġ
to remove	kks	tkks	kksġ
to renew	jdd'd	tjddad	jdd'dġ
to rent	kru	krru	kriġ
to repair	hiya	tHiyya	hiyaġ
to repair	skr	skar	skrġ
to repeat	.عawd	tعawad	.عawdġ
to repent	tub	t'tub	tubġ
to reply	jawb	tjawab	jawbġ
to request	ttr	t'ttr	ttrġ
to resemble	aġ	taġ	aġ'ġ
to resemble	iksil	tiksil	aksulġ
to reside	zdġ	zddġ	zdġ'ġ
to resolve	fukku	tfukku	fukkiġ
to respect	Htarm	tHtaram	Htarmġ
to rest	swunfu	swunfu	swunfiġ
to retire	amz lintrit	tamz lintrit	umzġ lintrit
to return	.عayd	tعayad	.عaydġ
to return	aġul	tuġul	aġulġ
to return something	rar	trara	ruriġ
to reverse	aġul tiġurdin	tuġul/taġul tiġurdin	aġulġ tiġurdin
to review	rajع	trajaع	rajعġ
to ride	ni	tnay	niġ
to ridicule	sعib	sعyab	sعibġ
to rinse	slil	slili	sluliġ
to rise (get up)	nkr	nkkr	nkrġ
to rise (sun)	ali	tali	tuli (3rd pers)
to rob	akr	takur	urkġ
to roll (ball)	duwr	tduwar	duwrġ
to roll (rug, etc.)	jjmع	jjmaع	jjmعġ
to roof*	sqqf	sqqaf	sqqfġ
to rot	xmj	txmaj	xmjġ
to rub	mri	mrri	mriġ
to run	azl	tazal	uzliġ
to run	rwl	rggl	rwlġ
to run away	azl	tazla	uzliġ
to run out of	smur	tsmur	smarġ
to rush	sddrf	sddrfu	sddrfġ
to rust	sdda	tsdda	sddaġ
to save	Hďu	Hţţu	Hdiġ
to say	ini	tini	nniġ
to scare	siwd	ssiwid	siwdġ
to scatter	zllع	tzllaع	zllعġ
to score	sjjl	tsjjal	sjjlġ
to scratch	kmz	kmmz	kmzġ
to scratch	xbš	txbaš	xbšġ
to scratch	xmz	xmmz	xmzġ
to scream	sġuy	sġuyu	sġuyiġ
to scrub	mri	mrri	mriġ
to see	annay	tannay	annayġ
to see	raعa	traعa	raعaġ
to see	sksw	sksiw	skswġ
to see	zr	tizir	zriġ
to see one another	myinniy	tmyinniy	myannayġ
to seek	inig	tinig	anugġ
to seek	ttr	t'ttr	ttrġ
to seem	dhar (relexive)	tdhar	idhar-i
to sell	znz	znza	znziġ
to send	azn	tazn	uznġ
to sentence (court)	Hkam	tHakam	Hakmġ
to separate	bďu	bţţu	bďiġ
to separate	frrq	tfrraq	frrqġ
to separate	sti	stti	stiġ
to serve	srba	tsrbay	srbaġ
to set a bone (close)	qqn	tqqn	qqnġ
to settle	zdġ	tzdaġ	zdġ'ġ
to sew	gnu	gnnu	gniġ
to sew	jnu	jnnu	gniġ
to shake	ryij	tryiji	riajġ
to shake	sus	susu	susiġ
"to shake hands with/greeteach other"	msllam	tmsllam	msllamġ
to share	ssur	tsur	sarġ
to share	ššur	tššur	ššarġ
to sharpen	ššwu	ššwu	ššwiġ
to shave	ġrn	ġrrn	ġrnġ
to shave	Hssn	tHssan	Hssnġ
to shell grains	"snj""m"	"snj""am"	"snj""mġ"
to shepherd	ks	kssa	ksiġ
to shift (car gears)	xllf	txllaf	xllfġ
to shine (sun)	sfliliy	sfliliy	sflaliġ
to shiver	rgigi	trgigi	rgigiġ
to shoot	ut	kat	utġ
to shop	tqaďa	tqaďa	tqaďaġ
to shorten	smziy	smzay	smziyġ
to shout	sġuy	sġuyu	sġuyiġ
to show	snعt	snعat	snعtġ
to shower	dwš	tdwaš	dwšġ
to shrink	mziy	tmziy	mziyġ
to shrink (something swollen)	xsi	xssi	ixsi (3rd pers)
to shut	qqn	tqqn	qqnġ
to shut up	fst	tfsta	fstiġ
to sift	ssif	ssifif	ssifġ
to sign	snya	tsnya	snyaġ
to silence	sfst	sfsta	sfstiġ
to simplify	suhn	suhan	suhnġ
to sing	ġnna	tġnna	ġnnaġ
to sink	ġrq	tġraq	ġrqġ
to sit	qqim	tqqima	qqumiġ
to sit	ut aġujdim	kat aġujdim	utġ aġujdim
to skin	uzu	tuzu	azuġ
to skin (i.e. knee, on person )	ššnšf	ššnšaf	ššnšfġ
to slap	amd abariq	tamd abariq	umdġ abariq
to slaughter	ġrs	qqrs	ġrsġ
to sleep	gn	ggan	gnġ
to sleep	gun	ggan	gunġ
to sleep (babies)	habuš	thabuš	habušġ
to slide	ššď	tššď	ššďġ
to slip	ššţ	tššţ	ššţġ
to smash	ddz	tddza	ddziġ
to smear	ams	tams	umsġ
to smell	kďu	kţţu	kďiġ
to smell	šţu	šţţu	kţiġ
to smell bad	"jj""u"	"tjj""u"	"jj""iġ"
to smell good	jju	tjju	jjiġ
to smile	ţs	ţssa	ţsiġ
to smoke	kmi	kmmi	kmiġ
to sneak	lkks	tlkkas	lkksġ
to sneeze	ut (conj) tinzi	kat tinzi	utġ tinzi
to sniff (i.e. cold)	sxinfir	sxinfir	sxinfirġ
to snore	sxuri	sxuru	sxuriġ
to soak*	rqqd	trqqad	rqqdġ
to sodder	lHm	tlHam	lHmġ
to speak	sawl	sawal	sawlġ
to speak	siwl	sawal	siwlġ
to spell	sftu	sftu	sftiġ
to spend money	sxsr lflus	sxsar lflus	sxsrġ lflus
to spend the night	ns	nssa	nsiġ
to spend time	zri luqt	zrri luqt	zrriġ luqt
to spill	nġl	nqql	nġlġ
to spin	ml'lly	tml'llay	ml'llyġ
to spin wool	llm	tllm	llmġ
to spit	sufs	sufus	sufsġ
to spit	sutf	sutuf	sutfġ
to spoil	xsr	xssr	ixsr (3rd pers)
to spoil (i.e. plans)	sxsr	sxsar	sxsrġ
to sprain	lġzm	tlġzam	lġzmġ
to spray	ršš	truššu	ruššiġ
to spray (insecticide)	şuţ	şwaţ	şuţġ
to spread	fsr	fssr	fsrġ
to spread out	ġrď	qqrď	ġrďġ
to sprout	mġi	tmġay	mġiġ
to squat	qqim xf tiġiġiyin	tqqima xf tiġiġiyin	qqimġ xf tiġiġiyin
to squat	ut (conj) tiġuzvav	kat tiġuzvav	utġ tiġuzvav
to squeeze	.عşr	tعşar	.عşrġ
to squeeze	ziyr	tziyar	ziyrġ
to squeeze	zm	zmma	zmiġ
to stain	slġ	sllġ	slq
to stamp	ţbع	t'ţbaع	ţbعġ
to stand	bdd	tbdda	bddiġ
to stand	nkr	nkkr	nkrġ
"to stand (i.e. I can't standyou)"	Hml (always negative)	tHmal	urHmilġ
to start	bdu	bddu	bdiġ
to start awake	fafa	tfafa	fafaġ
to startle	sduy	sduy	sduyġ
to starve	mt s laz	tmtat s laz	mutġ s laz
to stay	qqim	tqqima	qqimġ
to stay up late	muyd	tmuyud	muydġ
to steal	akr	takr	ukrġ
to step on	akl xf	takl xf	uklġ xf
to step over	sġl	sġal	sġlġ
to stick	sslġ	sslaġ	sslġ'ġ
to still be	sul	tisil	sulġ
to sting	qqs	tqqs	qqsġ
to stink	"jj""u"	"tjj""u"	"jj""iġ"
to stink	xmj	txmaj	xmjġ
to stir	Hrrk	tHrrak	Hrrkġ
to stir	smštg	smštag	smštgġ
to stop	bdd	tbdda	bddiġ
to stop	Hasr	tHasar	Hasrġ
to stop	Hbs	tHabas	Hbsġ
to stop doing something	rsa	rusu	rsiġ
"to stop someone from doingsomething"	mnع	tmnaع	mnعġ
to store	xzn	txzan	xznġ
to straighten up	smun	smun	smanġ
to strangle	Hnq	Hnnq	Hnqġ
to strangle	zlg	tzlag	zlgġ
to stretch	mġrď	tmġraď	mġrďġ
"to stretch someone (in ahammam)"	kssl	tkssal	ksslġ
to strip	.عrra	tعrra	.عrraġ
to study	ġr	qqar	ġriġ
to succeed	njH	tnjaH	njHġ
to suck	ssum	ssumum	ssumiġ
"to suck (babies on mother'sbreast)"	ţd	t'ţd	ţdġ
to suffer	krfş	tkrfaş	krfşġ
to sunbathe	rġ tafuyt	rqqa tafuyt	rġiġ tafuyt
to swallow	lqm	lqqm	lqmġ
to swallow	zrع	zrrع	zrعġ
to swear	ggal	tgalla	gguliġ
to sweat	.عrg	tعraq	.عrgġ
to sweep	frď	frrď	frďġ
to sweep	slH	slaH	slHġ
to sweep	šţţb	tšţţab	šţţbġ
to swell	bziy	bzziy	bziyġ
to swim	.عum	tعum	.عumġ
to swim	ššf	tššf	ššfġ
to switch (off)	sxsi	sxsay	sxsiġ
to switch (on)	ssiġ	ssiġi	ssiġ
to take	amz	tamz	umzġ
to take away	awi	tawi	iwiġ
to take away	kks	tkks	kksġ
to take care	thlla	thlla	thllaġ
to take care of	qabl	tqabal	qablġ
to take charge of	kllf	tkllaf	kllfġ
to take initiative	zعm	tzعam	zعmġ
to take off (clothes)	ks	tks	ksiġ
to take out	sufġ	sufuġ	sufġ
to take pictures	şuwr	tşwwar	şuwrġ
to talk	sawl	sawal	sawlġ
to talk about	sawl xf	sawal xf	sawlġ xf
to talk in sleep	sbrtu	sbrtu	sbrtiġ
to tangle	šbbk	tšbbak	šbbkġ
to tape (record)	sjjl	tsjjal	sjjlġ
to tape (scotch)	lşşq	tlşşaq	lşşqġ
to taste	arm	tarm	urmġ
to taste	mďi	tmďay	mďiġ
to taste	mţi	mţţi	mţiġ
to teach	.عllm	tعllam	.عllmġ
to teach	sġr	sġra	sġriġ
to teach a lesson (figurative)	ššعf	ššعaf	ššعfġ
to tear	bbi	tbbi	bbiġ
to tease	hdr	thďar	hďrġ
to tease	tflla	tflla	tfllaġ
to telephone (call)	g ttilifun	tgga ttilifun	giġ ttilifun
to tell	ini	tini	niġ
to tempt	g lġrr	tgga lġrr	giġ lġrr
to tend house	qabl	tqabal	qablġ
to think	fkkr	tfkkar	fkkrġ
to think	xxm'm	txmmam	xmm'mġ
to think (an opion)	ġal	tġal	ġalġ
to think something mistakenly	ġal	tġal	ġalġ
to threaten (someone)	ggal g	tgalla g	gulliġ g
to thresh	srut	srwat	srutġ
to throw	gr	ggar	grġ
to throw	zrď	zrrď	zrďġ
to throw (against something)	ġrf i	ġrrf i	ġrfġ i
to throw out	gr s	ggar s	grġ s
to throw out (liquid)	nġl	nqql	nġlġ
"to throw something into ahard surface"	ġrf	tġraf	ġrfġ
to throw up	rar	trara	ruriġ
to tickle	g tiglgaď	tgga tiglgaď	giġ tiglgaď
to tie	ass	tassa	ussiġ
to tie	Hzzm	tHzzam	Hzmġ
to tie (belt)	Hzzm	tHzzam	Hzmġ
to tie (i.e. cow)	krf	krrf	krfġ
to tie closed	jnnţ	tjnnaţ	jnnţġ
to tighten	zyyr	tzyyar	zyyrġ
to torture	.عddb	tعddab	.عddbġ
to touch	ggr	tggr	ggrġ
to touch	ţţas	t'ţas	ţţasġ
to trace	rsm	trsam	rsmġ
to trade	smbddl	smbddal	smbddlġ
to transfer	Hwwl	tHwwal	Hwwlġ
to translate	trjm	t'trjam	trjmġ
to travel	safr	tsafar	safrġ
to tremble	rjij	trjiji	rjajġ
to trick	qulb	tqulb	qulbġ
to trick	skr-t i ka	skar-t i ka	skrġ-t i ka
to trip	nqr	nqqr	nqrġ
to trust	amn	tamn	umnġ
to trust each other	miyaman	tmiyaman	-----
to try	arm	tarm	urmġ
to try	Hawl	tHawal	Hawlġ
to try on	arm	tarm	urmġ
to try on	jrrb	tjrrab	jrrbġ
