"EN_source"	"ZGH_target"
"gasoline (for cars)"	"mazot"
"gasoline (for motor bikes)"	"issans"
"gate"	"imi; lbab**"
"gauze"	"lfasma"
"gay (person)"	"liwat"
"gazelle"	"tamlalt"
"gendarme, head"	"lajudan"
"gently (adv)"	"s lHil; s lxaţr"
"germs"	"lmikrubat"
"get well"	"ad iعfu rbbi"
"gift (n)"	"lkadu; tarzift"
"ginger"	"sknjbir"
"girl"	"tarbat"
"girls"	"talqumin; tirbatin; tiširatin"
"glacoma"	"amalu n waln"
"glass"	"jjaj"
"glass (drinking)"	"lkass"
"glasses, eye"	"nďaďar; nţaţar"
"glove"	"tqašr n wafus"
"gloves"	"ligat; sbbaعyat"
"glue"	"lkula; lşaq"
"goal (soccer)"	"Haris"
"goal keeper"	"Haris"
"goals"	"lahdaf"
"goat"	"taġat"
"goat (M)"	"aعtrus; iqbi; abrrad"
"goat (male, baby)"	"iġjd"
"goats"	"tiġtin"
"God knows"	"llahuعlam"
"goiter"	"aglu; tirti"
"gold"	"ddhb"
"good"	"izil; lxayr; iġuda"
"good (tasty)"	"yusad"
"good behavior"	"lHya"
"good bye"	"ayg rbbi sstr; llahiعawn; layhni^; bslama**"
"goodness"	"tiHli"
"goodnight"	"nsas g lman"
"goodnight (to more than 1 person)"	"nsatas g lman"
"gopher (persons job)"	"ablandu"
"gossip (n)"	"tabrgagt"
"gound (adj)"	"sanida"
"government"	"ddula; lmxazn"
"grain"	"imndi"
"grammar*"	"nnaHw"
"grandfather"	"bba Hlu; dada"
"grandmother"	"mma Hlu; nanu"
"grandparent"	"Hlu"
"grapes"	"aďil"
"graph"	"rasm taxţiţi"
"grass"	"lHšiš; rrbi;ع tuga; tuja"
"grasshopper"	"tamurġi; aعbrqu"
"grasshopper (small)"	"avurġs"
"grave (n)"	"asmdl; lqbr; timdlt"
"gravestone"	"tanmnirt"
"gravestones"	"tmnirin"
"graveyard"	"tamdint"
"gray*"	"armadi"
"graze (n)"	"tayssa"
"greed"	"jju;ع ţţmع"
"green"	"axdri; azizaw"
"grey"	"armadi"
"grill"	"šuwaya"
"groom (n)"	"isli"
"grooms"	"islan"
"ground"	"akal"
"ground (i.e. spices)"	"ittzďa"
"ground grains"	"iziď"
"guard"	"aعsas"
"guest"	"anbji; anbyi"
"guests"	"inbiawn"
"gully, drainage"	"talat"
"gulp (n)"	"tagummimt"
"gum, chewing"	"lmska; nmska"
"gums"	"aksum n tuġmas; tifiyi n tuġmas"
"gun"	"kabus; lfrdi"
"hail"	"ibruri"
"hair"	"azzar"
"hair (goat)"	"inzadn"
"hair (messy, on a child)"	"takukit"
"hair (messy, on an adult)"	"akuki"
"hair, small (esp. knuckles)"	"inzd"
"hair, strand of"	"inzad"
"hairs, small (esp. knuckles)"	"inzadn"
"hairs, white"	"išiban"
"half"	"amnasf; nş**"
"hallucination"	"sHišir"
"hallway"	"lعlu"
"hammer"	"lmţrqa; tasmart"
"hammer (for sugar)"	"zzgliz; zziliz"
"hand"	"afus"
"handkerchief"	"zzif"
"handle, axe"	"tirgxt; trkxt"
"hands"	"ifasn"
"handspan"	"tardast"
"harassment*"	"nggan"
"hardship"	"tamara"
"hardware store"	"ddrugri"
"harelip"	"afriat"
"harvest"	"anbdu"
"harvest (grass)"	"lHšiš"
"hat"	"kaskita; tarbbat; tarbuš"
"hay"	"alim"
"haze (weather)"	"ďbaba"
"he"	"ntta"
"head"	"aqllal; ixf; uxsas"
"headache, migraine"	"ššqiqa"
"headdress (metal)"	"tryamut n tislit"
"heads"	"iġfawn; uxssn"
"health"	"şşaHt"
"health clinic"	"sbiţar"
"healthy"	"ijji; işHa"
"heart"	"awl; ul; lqlb**"
"heat"	"lHma"
"heater"	"šufaj"
"Heaven"	"ljnt"
"hedgehog"	"bu mHmd; insi"
"heel"	"awrz; taylzimt; urz"
"heels"	"iwrzan"
"height"	"tuvda"
"hell"	"afa; jahnnama"
"help (n)"	"lmaعawnt"
"hemorrage"	"bzzaf n idamn"
"hen"	"tafullust"
"her"	"nttat"
"her (direct obj. pronoun)"	"-tt"
"her (indirect obj. pronoun)"	"-as"
"her (possessive pronoun)"	"-ns"
"herb, grown in fields"	"tanuġa"
"herd"	"aštal"
"herding"	"tayssa"
"here"	"da; daddġ"
"here it is"	"han"
"heroin"	"ihirwin"
"hers"	"win-ns/tin-ns"
"hiccup"	"tiqqst"
"hill"	"tawrirt"
"him"	"ntta"
"him (direct obj. pronoun)"	"-t"
"him (indirect obj. pronoun)"	"-as"
"hip"	"tazuyt"
"his"	"-ns"
"his"	"win-ns/tin-ns"
"hobbies*"	"lhiwayat"
"hobby*"	"lhiwaya"
"hoe"	"aġlzim; taylzimt"
"hole"	"axjuj; axurri; iġisi; taxurrit; tiġisit"
"holes"	"tiġisa"
"holiday"	"tigga; lعuţla**"
"homesickness"	"lqnd"
"homework"	"tmrin"
"honey"	"tamamit; tamimt; tammt; tamnt"
"hood"	"agunun"
"hoof"	"sfiHt; tisilt"
"horn"	"aqrruy; isk"
"horn (car)"	"klaksun"
"horns (animal)"	"askyun; iqrruyn; iqurray; ksawn; tkruin; tskawwin"
"horse"	"iyis"
"horse (female)"	"tagmart"
"horses"	"iysan"
"horseshoe"	"tisilt"
"hose"	"tiyu"
"hospitable (adj)"	"aعryan"
"hospital"	"sbitar"
"hostel"	"gite"
"hotel"	"lutil"
"hour"	"tassaعt"
"hours"	"swaya"
"house"	"jgwa; taddart; tigmi"
"housedress"	"pijama"
"houses"	"tadarwin; tidartwin"
"how (interrogative)"	"manimš; manimšidda"
"how much"	"mšta; sHal**"
"human being"	"bnadm"
"human rights*"	"Huquq linsan"
"hummingbird"	"Hyayyu"
"hunger"	"lazz"
"husks, corn"	"aHlfuš"
"hyena"	"ifis; mjġyul"
"I"	"nk; nkin"
"I"	"nk"
"I love you"	"da km/k tiriġ"
"I think so"	".عniġ; imkn**"
"ice"	"agris; asmid; iwri"
"idea"	"rray; lfikra**"
"if"	"ig; mk; mš"
"if only"	"mrday"
"immigrants"	"lmuhajrin"
"immigration"	"lhijra"
"importance"	"g (conj) muhim"
"important"	"ihmma; muhim**"
"in"	"j"
"in (location)"	"g"
"in front of (location)"	"dat; lgdam"
"in order (counting)*"	"rttb"
"in order (not messy)"	"jmع"
"in order to..."	"afad; baš; marad"
"in the middle (of)"	"ammas (n)"
"in the name of God"	"bismillah"
"incense"	".عud loqmari; ljawi; nndd"
"independent"	"listiqlal"
"industry"	"şşniعt"
"infection"	"abďay; aعţţib"
"information"	"inarmaysn; lmaعlumat**"
"injection"	"jjlba; tismi"
"injury"	".عrrm"
"innocent*"	"bari"
"insect"	"abxu; abxxuš"
"insects"	"ibxxušn"
"inside (of)"	"agnsu (n)"
"inspector"	"lmuftiš"
"instructions*"	"ttعlimat"
"insurance"	"rasurans"
"interesting"	"ihmma"
"intersection"	"gr ibrdan"
"intestine"	"asrm"
"intestines"	"isrman"
"investment"	"stitmar"
"invitation"	"taġuri"
"iodine"	"lyud"
"iris"	"lعin n ţit"
"iron fire stand"	"iniyn n wafa"
"ironwork grill (window)"	"lgriyaj; ššbbik"
"irrigation ditch"	"targwa"
"is (question word before noun)"	"id-"
"is (question word before verb)"	"is-"
"island"	"l-jazira; tagzirt; tayzirt"
"isle"	"znqt"
"it (F object) (direct obj. pronoun)"	"-tt"
"it (M object) (direct obj. pronoun)"	"-t"
"it exists (it is there)"	"mujud"
"itch (n)"	"ašmaz"
"its none of my business"	"maši šuġli"
"its none of your business"	"maši šuġlk"
"IUD"	"lعamaliya"
"IV"	"sirum; tismi n lqwwa"
"jack, tire"	"lkrik"
"jacket"	"djakita; lfista"
"jail"	"lHabs"
"January"	"yanayr; šar waHd"
"jar (n)"	"lqrعa"
"jaundice"	"bu şfir; siwriġ"
"jaw"	"taqşmart"
"jealousy"	"lġira"
"jellaba"	"tajllabit"
"jelly"	"confitur"
"Jew"	"uday"
"Jews"	"l-yahud; udayn"
"job"	"lxdmt"
"jocularity"	"rršqt"
"joint (i.e. knee)"	"lmsfl"
"joke"	"nnukta"
"joker"	"baqšiš"
"joker (in cards)"	"jjokir"
"joking around"	"lhďrt"
"jokingly (adv)"	"s عnwa"
"journal (personal)"	"lyawmiyyat"
"journalist"	"saHafi"
"jug"	"aqlil; lxibit"
"juice"	"lعaşir"
"July"	"yulyuz; šhr sbع"
"June"	"yunyu; šhr sţa"
"juniper"	"tawalt"
"just"	"ġas; ġir"
"just now"	"dġik; mHra"
"kettle"	"lġllay; lmqraš"
"key"	"tasarut"
"keys"	"tisura"
"kid (small goat)"	"iġjd; iġšt; tiġšt"
"kidney"	"tigzlt; tiyzlt"
"killing"	"mnġiwt"
"killing"	"tanuġi"
"kilogram"	"kilo"
"kindling"	"lqšš"
"king"	"aglid; ayllid; lmalik"
"kingdom*"	"lmamlaka"
"kitchen"	"izġi"
"knife"	"tajnwit; lmus**"
"knot"	"tamurkist"
"ladder"	"sslum; taskkalya"
"ladle"	"aġnja"
"lake"	"lbuHayra"
"lamp"	"tajjajt"
"languages"	"lluġat"
"lantern"	"tajjajt"
"last"	"amgaru/tamgarut"
"latch"	"şşaqta"
"later"	"mnbعd; asani"
"law"	"lqanun"
"lawyer"	"lmuHami"
"leaf"	"ifrr"
"leather"	"jjld"
"leather*"	"lkwir"
"leaves"	"ifrawn"
"left"	"azlmat"
"lentils"	"lعds"
"leprosy"	"lbrş"
"lesson"	"ddrs"
"lessons"	"ddurus"
"letter"	"tabrat"
"liar"	"bu ikrkisn; bu ixudadn"
"lid"	"tasdlt; timdlt; tismdlt"
"lie (n)"	"axudad; iskrlkasn; ixdadn; lkdub"
"lies"	"ihalaln; ikrkisn; ixudadn; tiHlal; lkdub**"
"life"	"tudrt; lHayat**"
"lifestyle"	"lmعišt"
"light (n)"	"asafu; asidd; ďďu"
"light bulb"	"lbula"
"light switch"	"nnggasa"
"lighter"	"lbrika"
"lightning"	"usm"
"like (comparison)"	"am; zun"
"line (of people)"	"şşf"
"line (on paper)"	"ssţr"
"line (that one waits in)"	"afalis"
"lines (in paper)"	"ssţur"
"lines (of people)"	"şşfuf"
"lion"	"izm"
"lip"	"anfur; anšuš"
"lips"	"anfurn; anšušn; axmim"
"liquid"	"zund aman; s-sail**"
"litter"	"zzbl"
"little (n)"	"drus; imik; imiq"
"liver"	"tassa"
"livestock"	"lbhaym"
"lizard"	"tabrdamušt; tazlmumuyt; tiqlit"
"loaf of bread"	"tangult; taxubzit; tuġrift"
"loan"	"tardlawt"
"lock (bolt) (n)"	"şşaqta"
"lock (n)"	"lqfl"
"locust"	"tamurġi"
"logs"	"iquva"
"lollipops"	"lmşaşa"
"loneliness"	"lqnd"
"longing (for) (n)"	"taġufi"
"loom"	"asţa"
"loss (n) (vs. profit)"	"irzan"
"lotion"	"ddhna"
"lotto-like game"	"tiayrsi"
"love (n)"	"baďaď; lHub; tayri"
"luck"	"zzhr"
"lunch"	"allas; imkli"
"lung illness (caused from work in mines)"	"silicuz"
"lungs"	"turin"
"lymph nodes"	"iqojjan"
"lyrics"	"lkalimat"
"magnet"	"dinamu"
"mail"	"lkuryi"
"majority"	"šigan; l'aġlabya**"
"make-up (n)"	"iţlan"
"male*"	"ddkr"
"mallet (for compacting dirt)"	"lmrkz"
"man"	"argaz; ariaz; aryaz; lعil"
"manager"	"lmudir"
"manager, water"	"aعlam n trgwa"
"manure"	"laġbar"
"manure heap"	"abduz; amduz"
"many"	".عddan; bzzaf; gudin(t); kigan; šigan; wahli n"
"map"	"lxariţa"
"March"	"mars; šar tlata"
"mare"	"tagmart"
"marketing*"	"ttswiq"
"marriage"	"tamġra"
"marrow, bone"	"adif"
"mask of pregnancy"	"takula"
"masturbation"	"tizzt; tummizt"
"mat"	"agrtil"
"matches"	"luqid"
"material"	"lkttan; ttub"
"mathamatics"	"rryadiat"
"mattress"	"lbayas; namusiya"
"mausoleum"	"agurram"
"mauve (color)"	"aHarmlal"
"May"	"mayyu; šar xmsa"
"maybe"	".عniġ"
"mayor"	"ajrray; muqadam"
"me (direct obj. pronoun)"	"-i"
"me (indirect obj. pronoun)"	"-i"
"meal"	"tirmt"
"meal, last one before sunrise during Ramadan"	"şHur"
"meals"	"tirim; utši"
"measles"	"buHmrun; buzgwiġ; buzgwaġ"
"meat"	"aksum; tifiyi"
"meat skewers"	"tašwitin; tišbbiyin; titliwin; tizarzay"
"meat, diced"	"tašwitin"
"meat, dried"	"lgdid; lqdid"
"meat, goat"	"lعnzi"
"meat, ground*"	"lkfta"
"meat, sheep*"	"lġnmi"
"meat, without bones"	"lhbra"
"mediator"	"amzizrt"
"medicine"	"asafar; ddwa"
"Meditteranean Sea"	"lbHar l-abyad l- mutawassit"
"meeting"	"ajmmu;ع lijtimaع"
"meeting of leaders"	"ljmaعt"
"melting pot (literally 7 vegetables)"	"sbع xdur"
"men"	"irgazn; irgzn; irizn; iryizn"
"menu"	"lmanu"
"merchandise"	"ssliعt"
"merit badges (on uniforms)"	"lgrad"
"metal"	"lHam; lHdid"
"metal box (for sugar)"	"ţarbiعt"
"metal stick for coals"	"ašnqs n wafa"
"metal, a useless"	"aqzdir"
"piece"	"Unnamed: 0"
"metal, flat, to put on roof"	"aqzdir"
"meter (in taxi)"	"lkuntur"
"mice"	"iġrdayn"
"microscope*"	"lmijhar"
"military"	"aعskri; lعskr"
"military guys"	"amxzni"
"milk (n)"	"lHlib"
"Milky Way"	"asif n igna"
"mill"	"azarig; azrg; tisiad;"
"mill, water"	"azrgn n waman"
"millions (money)"	"brikat"
"minaret"	"taşşumعt"
"mind (n)"	"lعql"
"mine (minerals)"	"lġar; lmnjm**"
"mine (possessive)"	"win-u; tin-u"
"mineral"	"lmعdn"
"minerals"	"lmعadn"
"minister (govt)"	"luzir"
"ministers (govt)"	"id luzir"
"mint"	"liqamt; naعnaع"
"minus"	"nqis"
"mirror"	"lmli; lmri"
"miss"	"lalla"
"mistake"	"lafut; lġalaţ; lxta"
"mister"	"sidi"
"molar"	"ajjrug"
"molars"	"ajjrgun"
"mold (for bricks)"	"lqalb"
"mold (n)"	"aġmal"
"mole (on skin)"	"taHbubt"
"Monday"	"ltnin"
"money"	"idrimn; iqaritn; lflus"
"money order"	"lmanďa"
"monkey"	"zعţuţ"
"month"	"ayur; ššhr"
"moon"	"ayur"
"more"	"uggar"
"morning"	"şbaH"
"morning (early)"	"tifawt"
"Moroccan"	"amaġribi/tamaġribit"
"Moroccans"	"imaġribin"
"mortar and pestle"	"tafrdut"
"mortar and pestle*"	"lmhraz"
"mosque"	"ljamع"
"mosquito"	"abiba"
"most*"	"l-aġlabya"
"moth"	"ibilbilu; ibrbilu"
"mother"	"mma*; yu*; imma*"
"mountain"	"adrar; aġulid; anbd; iġil; isk; jbl**"
"mountain pass"	"tizi"
"mountains"	"lعuari"
"mouse"	"aġrday; taġrdayt"
"mousetrap"	"qrra n iġrdayn; tasskolt; tazqqurt"
"mouth"	"imi"
"movement"	"amštj; tmštgi"
"much"	"bzzaf; kigan"
"mud"	"alud; aluţ; talaxt"
"mud (really bad)"	"alġiġ"
"mug"	"aġurraf; awraf"
"mulberry"	"ttut"
"mule"	"asrdun; tasrdunt"
"mules"	"isrdan"
"multiplication (math)"	"ďďrb"
"multiplied by (math)"	"fi; madruba"
"muscle"	"tabujjut; lعďala**"
"muscles"	"tibujja; lعdalat**"
"mushroom"	"takufit n tmġart"
"music"	"lmusiqa"
"musket"	"bušfr"
"Muslims"	"inslmn; muslimin**"
"must (w/verbs)"	"ixssa (reflexive)"
"mustache"	"lmustaš; šlaġm"
"mute person"	"aznzul"
"my"	"-inu; -nu"
"nail"	"amsmar; ansmar; tamzmart"
"nail clippers"	"tiġumdin; lmqş**"
"naked"	"asboţ; Hazudi"
"name"	"ism"
"name, family"	"kunya; lknia"
"names"	"ismawn"
"nation"	"ddula"
"nationality"	"ljinsia"
"nature"	"ţţabiعa"
"naughtiness"	"tamssi"
"naughty person"	"lm'sxut(a)"
"nausea"	"timlilay"
"near (location)"	"tama n"
"necessary"	"labda"
"neck (n)"	"agrd; agrt; amgard;"
"necklace"	"asnsar; lHnqa; tazra"
"necklace (shell)"	"aqayn"
"nectarine"	"šhdya"
"needle"	"taxyiat; tisgnit; tismi"
"needles, knitting"	"imsmarn n taduht"
"neighbor"	"adjar"
"neighbors"	"adjarn"
"neither...nor..."	"la...ula"
"nest"	"akutf"
"never (future)"	"ursar"
"never (past)"	"urdjin"
"news"	"lxbar"
"next"	"didan"
"next to"	"tama n"
"next year"	"imal"
"night"	"ggid"
"night before last"	"aslid idgam"
"nipple"	"iġf n bbuš"
"no"	"ay ha; iHi; uHu; wahi"
"no longer"	"uryad"
"no one"	"awd yan"
"no problem"	"ihnna lHal; maš igan;"
"nobody"	"awdyan"
"noise (n)"	"aqqur; şdaع"
"nomads"	"irHaln"
"noodles"	"ššعria"
"nor"	"wala"
"normal"	".عadi"
"north"	"ššamal"
"North America"	"amerika šamalia"
"nose"	"anxar; axmuy; tinzar"
"nose, runny"	"xamuš"
"noses"	"ixumay"
"nostalgia (for)"	"taġufi"
"not (for nouns or"	"urid"
"not possible"	"ur af (conj in past); ur"
"not yet"	"urta"
"notebook"	"lkunnaš"
"nothing"	"amya; awd imiq; awd"
"noun"	"ism"
"November"	"nwanbir; šar Hdaš"
"now"	"dġi; dġik; tassعt i"
"number"	"rrqm"
"numbers"	"larqum"
"nurse"	"afarmli/tafarmlit"
"nutmeg"	"lguza"
"oats"	"lxorţal"
"objectives"	"lmurad; lahadaf**"
"obstruct"	"Haşr"
"occasion"	"dikra; lfurşa"
"ocean"	"lbHr; l-muHit"
"October"	"oktobr; šar عšra"
"odd (i.e. 1, 3, 5)"	"waz"
"of"	"n"
"offensive"	"sxsr (conj. in present)"
"office"	"lbiru; lmktb"
"offspring"	"tarwa"
"oil (n)"	"zzit"
"oil, machine"	"lmazuţ"
"ointment"	"pumada"
"old man"	"awsir"
"old woman"	"tawsirt"
"olive"	"zzitun"
"olive oil"	"zit lعud; zzit n zzitun"
"on (objects)"	"ġif; xf"
"on (top of)"	"afla n"
"on the side"	"tasga"
"once"	"yat tiklt"
"one third"	"tulut"
"oneself, by"	"i wadu*; ixf^"
"onion"	"azalim"
"only"	"day"
"opening in front of shirt (women)"	"awsi"
"opinion"	"ray"
"opinions"	"id rray; larriyat"
"opportunity"	"lfurşa"
"opposite"	"ďď'd; lعks"
"optomistic*"	"mutafail"
"or"	"nġd"
"or (question)"	"mad; mid"
"orange (color)"	"alimuni"
"orange (fruit)"	"llimun"
"orchard (usually w/in a wall)"	"urti"
"oregano"	"azuknni; iziknnu; zzaعtar**"
"organization"	"munďďama"
"others"	"wiyď; tiyď"
"otter"	"igdi n waman; ijdi n waman"
"our"	"-nġ"
"ours"	"win-nġ; tin-nġ"
"outfit (clothes)"	"ssunbl"
"outside (of)"	"brra (n)"
"oven"	"afrran"
"over"	"nig"
"over here"	"iwrd"
"over there"	"azyin; iwrin"
"package"	"kulia; lbkit"
"page"	"sfHa"
"pages"	"sfHat"
"pain (n)"	"angaz; azbar"
"paint (n)"	"lbantura; şbaġt; şbaqt"
"paint brush"	"şşita n şbaġt; ššiţa n şbaġt"
"pair"	"tayuga"
"pair (cards)"	"rrunda"
"palm (of hand)"	"tidiklt"
"palm tree"	"tafruxt; tiyni; tifrxin"
"pan (1 handle)"	"lkasruna"
"pan (2 handles)"	"lgamila"
"pancake"	"bġrir"
"pancake-like bread"	"toġrift"
"panther*"	"lfahd"
"panties"	"lgrsun; slip"
"pants"	"asrwl; ssrwal"
"paper"	"tawriqt"
"paprika"	"tHmira"
"parade"	"listiعrat"
"paradise"	"ljnt"
"paragraph*"	"lfqra"
"parasite"	"ibuxa"
"parents"	"lwalidin"
"parliament"	"lbrlaman"
"parsley"	"lmعdnus"
"part (of whole)"	"ţarf"
"partridge"	"taskurt"
"party"	"lfišta; lHafla"
"party (get together)"	"zrda"
"party, birth"	"sibع"
"pass, mountain"	"tizi"
"pasta"	"brkuks"
"pasta (noodles)"	"ššعria"
"pastry (fried and sugar coated)"	"šbkia"
"pastry cloth"	"agulim"
"pastry, flaky"	"trid"
"pasture"	"almu"
"path"	"abrid; šanţy"
"path going up hill"	"tamadla"
"patience"	"şşbr"
"paved road"	"gudron"
"peace"	"lhnna; lman"
"peach"	"lxux"
"peanut butter"	"amalu"
"peanuts"	"kawkaw"
"pear"	"bouعwid; tfiras"
"peas"	"jlbana"
"pedal (gas)"	"lksiratun"
"peelings"	"ifrka"
"pen, animal"	"arHbya; tafrgant"
"penalty card"	"indar"
"pencil"	"lkalamrasas; lqalam"
"penis"	"abaşşa; abllu; awjjim"
"penis (slang)"	"warixs; zb"
"penis (slang) (least shocking)"	"lqlm"
"people"	"mddn"
"people (of 1 nation)"	"šعb"
"people, high birth"	"šrfa"
"people, low birth"	"iعamin"
"people, poor"	"drawš"
"peoples (of nation)"	"ššuعub"
"pepper (spice)"	"lbzar"
"pepper (vegetable)"	"tiflflt"
"pepper, bell"	"ififl; tifulfil"
"pepper, hot"	"tflflt iHran"
"pepper, hot"	"tifulfil tamharuţ"
"peppermint"	"fliu"
"perfume"	"lbxur; rriHa"
"perhaps"	".عniġ"
"person"	"bnadm"
"person missing teeth"	"agrmaš"
"person who cannot talk"	"aznzul"
"person who stutters"	"atmtam"
"person with gray hair"	"ašiban"
"person with leprosy"	"anjdam"
"person with one eye"	"afrdi n tit"
"person, alcoholic"	"askayri"
"person, blind"	"abukad"
"person, crazy"	"amعdur/tamعdurt"
"person, cross-eyed"	"aziwal; azlm"
"person, deaf"	"aznzul"
"person, degraded"	"amazdar"
"person, dignified"	"amxmax"
"person, high birth"	"agurram; ššrif"
"person, hunchbacked"	"bu tayut"
"person, low birth"	"aعami"
"person, mute"	"aznzul"
"person, nosy"	"afaduli"
"person, old"	"amġar/tamġart; yusir/twssir"
"person, poor"	"driwš"
"person, sick"	"amuţin"
"pessimistic*"	"mutašaim"
"pestle"	"tafrdut"
"pestle (stone)"	"azduz"
"pharmacy"	"lfrmasiyan"
"phlegm"	"axlul; axnsir"
"phone number"	"nmra n tilifun"
"photograph"	"tswira"
"photographs"	"tsawr"
"pick-axe"	"ašaqur"
"picnic"	"rriHla"
"pictures"	"tsawr"
"piece"	"lmurşu"
"pig"	"aHluf"
"pigeon"	"aHmmam; amirad; atbir"
"pill"	"lfanid; lknina"
"pillow"	"attag; lmsnnda; lmxdda; lusada; tatayth"
"pillows"	"attagn"
"pills"	"lkninat"
"pinch (n)"	"tubbit"
"pink"	"awardi"
"pinwheel"	"lfrfar"
"pipe"	"aqadus"
"pitcher"	"aġrraf"
"pitchfork"	"tamdra; tizrt"
"place"	"adġar"
"place for prayer, in mosque"	"timzzilit"
"place where people wait to find work"	"lmowkf"
"place, high"	"agdal"
"place, higher"	"azilal"
"placenta"	"timatdin"
"placenta (euphemism)"	"utmas"
"places"	"idġarn"
"plan"	"lblan"
"planet"	"ddunit; lkawkab**"
"plans"	"lblanat"
"plant, hallucinogenic"	"taburzigt"
"planting"	"tayrza"
"plaster"	"lgbş; ljir"
"plate"	"amalay; amţliy; tbşil"
"pliers"	"lqaţţ"
"plow (n)"	"awulu"
"plowing"	"tayrza"
"plowing, by hand"	"lqlib; tukurt"
"plus (math)"	"zaid"
"pocket"	"jjib; jjnb"
"poem*"	"ššiعr"
"poems"	"timnaţin"
"poet"	"amdiaz; ššaعir**"
"poison"	"ssm"
"poisoning"	"ištša"
"police"	"lbulis"
"police car"	"lfargunit"
"police inspector"	"linspiktur"
"police station"	"lkumisariya"
"pollution"	"alwwt; ttalwwut"
"pomade"	"lpumad"
"pomegranate"	"rrmman"
"ponge"	"lponj; lHaf"
"pool"	"lapisin"
"pool (in river)"	"amda"
"poop (human)"	"ixan"
"poop (sheep)"	"iwrrayn"
"poor"	"lmskin"
"poor people"	"lmasakin"
"poor thing"	"igllin/tigllint; mskin/mskina"
"poor things"	"msakn"
"popcorn*"	"lglya"
"pope, the"	"lbaba"
"poplar"	"ssfsaf"
"population"	"ššعb"
"porridge"	"tagula; tarwayt"
"portion (n)"	"tiqimit"
"possible"	"imkn"
"post man"	"lfaktur"
"post office"	"lbuşţa"
"pot"	"kasruna"
"pot, coffee"	"lbriq"
"potato"	"bţaţa"
"potato bug"	"lعffar"
"prayer"	"tazallit"
"prayer beads"	"tsbiHat"
"prayer rug"	"şşllaya; tazarbit n tzallit"
"president"	"rryss"
"press (n)"	"zzyyar"
"pressure"	"ďďġţ"
"pressure cooker"	"lkukut"
"pretty (adj)"	"iHla"
"price"	"atig; ttaman"
"priceless"	"ur ġurs atig"
"pricklies (in raw wool)"	"azumar"
"prickly pear"	"aknaray; lHndia; tazart n irummin; zعbul"
"prison"	"lHbs"
"prize"	"ljayza"
"probably"	".عniġ"
"probably not"	"moHal; ur عyyn (conj)"
"problem"	"muškil"
"products*"	"lmntuj"
"profit (n)"	"rrbH"
"program*"	"lbrnamaj"
"project (n)"	"lmšruع"
"projects"	"lmašariع"
"pronounciation*"	"nutq"
"proprietor"	"bu-"
"prostitute"	"lqHba"
"prostitute (least shocking)"	"lbaġia"
"prostitute (slang)"	"tamgant"
"prostitutes"	"lqHab"
"prostitutes (least shocking)"	"lbaġiat"
"prostitutes (slang)"	"timganin"
"province"	"lعamala"
"provisions"	"lعwin"
"pulley (well)"	"tanaعut"
"pulley system"	"ljrrart"
"pullover"	"triku"
"pump"	"lbumba"
"pumpkin"	"taxsayt"
"pupil (of eye)"	"izri; mumu n ţiţ; tmumut n ţiţ"
"puppy"	"ikzin"
"purchase (n)"	"tamswwqt"
"purple"	"abanafsaji; amdadi; amidadi"
"purse"	"ajbir; aškar; şak"
"purse (for old men)"	"aqurab; uqriš"
"pus"	"arşd; nšl"
"quality"	"kaliti"
"quarter"	"rabعa; rbع"
"queen"	"tayllidt"
"question"	"asqsa; sual**"
"quickly"	"fimrra"
"quill (in plant)"	"asnan; axlal"
"quills"	"isnan; ixlaln"
"quince"	"šfarjil; sfrjil"
"rabbit"	"alqnin; awunin; lqninat; tawtult; tqnint"
"racism"	"lعnsuria"
"racks, brochette"	"šuwaya"
"radio"	"radio"
"rain"	"anzar"
"rain"	"tagut"
"rainbow"	"tislit n iyjnna; tislit n unzar"
"raisins"	"zbib"
"rake (n)"	"raţu"
"ram"	"anuguţ"
"ranger, forest"	"buġaba"
"rarely"	"mrra mrra"
"raven"	"ahaqar"
"ravine"	"taġya"
"razor"	"razwar; zizwar"
"ready"	"mujud"
"reason"	"max; max alig"
"reasonable"	"lmعqul"
"receipt"	"lfaktura; rrusi"
"recipe"	"lmaqadir"
"rectangle"	"lmustaţil"
"red"	"azgwaġ"
"red fox"	".عlbun"
"reduce"	"naqs"
"refrigerator"	"frigu; tlaja"
"region"	"lmnţaqa"
"registration, for work"	"lambuš"
"regret (n)"	"tgrazi"
"regulator (between gas tank and hose)"	"lmagana"
"reign"	"lmulk"
"relationship"	"lعlaqa"
"relative"	"lfamila"
"relatives"	"tagmat; taymat"
"religion"	"ddin"
"removal"	"ukus"
"rent (n)"	"lkra; lkri"
"report"	"rrapur"
"representative (in gov't)"	"nayb"
"republic"	"jamhuria"
"Republicans"	"ljmhuryyin"
"reservoir"	"šarij"
"respect (n)"	"l-iHtiram"
"responsibility"	"lmsulia"
"rest (n)"	"aswunfu; rraHt"
"retirement"	"lintrit"
"reward"	"ajar"
"ribbon"	"lfililan n wazzar"
"rice"	"rruz"
"rifle"	"jwija"
"right (direction)"	"ayfas"
"right (privilege)"	"lHq"
"right, on the"	"xf wayfas"
"rights"	"lHuquq"
"ring"	"talxatmt"
"ripe"	"tinwi"
"river"	"assif"
"road"	"abrid"
"road, paved"	"lgudron"
"rock"	"azru; islli; taggunt"
"rocket"	"şşarux"
"rocks"	"izran"
